Time,Node,S,E,I,R
10,4,5580.0,0.0,0.0,76500.625
10,5,4182.0,0.0,0.0,49884.81
10,6,9670.0,0.0,0.0,139608.75
10,7,8089.0,0.0,0.0,120321.0
10,8,6562.0,0.0,0.0,88644.88
10,9,9150.0,0.0,0.0,125902.484
10,10,3501.0,0.0,0.0,55723.9
10,11,6329.0,0.0,0.0,96953.14
10,12,7086.0,0.0,0.0,110285.36
10,13,7993.0,0.0,0.0,122408.02
11,0,1468.0,15.0,40.0,25647.732
11,1,1686.0,0.0,0.0,31722.09
11,2,2450.0,0.0,0.0,37756.914
11,3,4058.0,0.0,0.0,53587.348
11,4,5580.0,0.0,0.0,76495.89
11,5,4182.0,0.0,0.0,49881.69
11,6,9670.0,0.0,0.0,139602.94
11,7,8089.0,0.0,0.0,120316.695
11,8,6562.0,0.0,0.0,88641.67
11,9,9150.0,0.0,0.0,125897.93
11,10,3501.0,0.0,0.0,55721.89
11,11,6329.0,0.0,0.0,96949.664
11,12,7086.0,0.0,0.0,110281.4
11,13,7993.0,0.0,0.0,122403.625
12,0,1462.0,15.0,46.0,25645.527
12,1,1686.0,0.0,0.0,31719.371
12,2,2450.0,0.0,0.0,37754.184
12,3,4058.0,0.0,0.0,53584.016
12,4,5580.0,0.0,0.0,76491.16
12,5,4182.0,0.0,0.0,49878.58
12,6,9670.0,0.0,0.0,139597.12
12,7,8089.0,0.0,0.0,120312.4
12,8,6562.0,0.0,0.0,88638.46
12,9,9150.0,0.0,0.0,125893.38
12,10,3501.0,0.0,0.0,55719.883
12,11,6329.0,0.0,0.0,96946.18
12,12,7086.0,0.0,0.0,110277.44
12,13,7993.0,0.0,0.0,122399.234
13,0,1457.0,13.0,51.0,25645.322
13,1,1686.0,0.0,0.0,31716.654
13,2,2450.0,0.0,0.0,37751.453
13,3,4058.0,0.0,0.0,53580.688
13,4,5580.0,0.0,0.0,76486.42
13,5,4182.0,0.0,0.0,49875.457
13,6,9670.0,0.0,0.0,139591.3
13,7,8089.0,0.0,0.0,120308.1
13,8,6562.0,0.0,0.0,88635.25
13,9,9150.0,0.0,0.0,125888.83
13,10,3501.0,0.0,0.0,55717.875
13,11,6329.0,0.0,0.0,96942.695
13,12,7086.0,0.0,0.0,110273.48
13,13,7993.0,0.0,0.0,122394.836
14,0,1456.0,9.0,57.0,25643.117
14,1,1687.0,0.0,0.0,31713.938
14,2,2404.0,0.0,0.0,37384.72
14,3,4071.0,0.0,0.0,53577.36
14,4,5598.0,0.0,0.0,76481.695
14,5,4194.0,0.0,0.0,49872.344
14,6,9724.0,0.0,0.0,139583.47
14,7,8141.0,0.0,0.0,120300.805
