"adm0_name","adm1_name","n_samples","r_effect_mean","r_effect_sd","r_effect_median","sia_effect_mean","sia_effect_sd","sia_effect_median","r_effect_q025","r_effect_q975","sia_effect_q025","sia_effect_q975","correlation"
"AFGHANISTAN","BADAKHSHAN",500,1.1096976647432237,0.448382074366636,1.131308654964244,-0.036762071190356745,0.2621793286933502,-0.023311053332443554,0.21241796540793748,1.9637466593025574,-0.5259610832792662,0.4680263622019485,-0.10251578761490136
"AFGHANISTAN","BADGHIS",500,2.7088345106893628,0.4467736973593022,2.7281589271686215,0.3193249754652894,0.16341292665113166,0.3223385551581467,1.7578596289874864,3.5554444086103083,-0.012570504941147524,0.6595553583615095,-0.6417772665047419
"AFGHANISTAN","BAGHLAN",500,1.3977621299532759,0.4971958142265009,1.414654672899269,-0.08562406862194767,0.26432430541577634,-0.09710702953644765,0.48106212549372707,2.3389674841246015,-0.6175934903800453,0.4552675730014988,-0.1116295190021414
"AFGHANISTAN","BALKH",500,1.6044761400773504,0.47253732859450287,1.598233988850502,-0.05806551237933674,0.24583406778933387,-0.059752479600814624,0.6639932624200209,2.466653654793096,-0.520053166669174,0.4406942779697717,-0.16298589615478942
"AFGHANISTAN","BAMYAN",500,1.5283184314353078,0.49672951713961994,1.548990119088722,0.0681292118168433,0.27236298370945766,0.06997632748886395,0.41245046842235406,2.485169430453467,-0.4180344535365444,0.6389027958821523,-0.14786930872497273
"AFGHANISTAN","DAYKUNDI",500,1.3928827469744582,0.49070726572450035,1.4078246663419205,0.07801719298513746,0.2680933965860038,0.07375509442930381,0.42910397333843475,2.3371734884503006,-0.412098800348624,0.5913604377105712,-0.11158185731924511
"AFGHANISTAN","FARAH",500,2.443890223445386,0.32994846015844115,2.4633131942927173,0.22779930431789544,0.14203694685243462,0.23377411036766216,1.8013869322065448,3.085673606495676,-0.0341005915460902,0.5178763783618886,-0.41042662300609567
"AFGHANISTAN","FARYAB",500,1.873401819517385,0.47141582761979345,1.879789050625345,0.11628396162463878,0.213721597086609,0.12331119907894444,0.8892673156922928,2.7660105861557875,-0.2942041821234097,0.5214884197081752,-0.3622881160797041
"AFGHANISTAN","GHAZNI",500,2.113514812490639,0.38458317962643557,2.1189087371306914,0.5190473436178052,0.11751670924004705,0.5201963713092759,1.3128552781602827,2.8316752832361427,0.272897697973174,0.7376922283841543,-0.43874500825442214
"AFGHANISTAN","GHOR",500,1.5133156813724158,0.43464389634366196,1.5014920349247773,0.0884302964797975,0.22619663535167925,0.0909928055289117,0.6502554585784128,2.3923954838275328,-0.34316975278125217,0.5248717272991504,-0.28167616029924836
"AFGHANISTAN","HILMAND",500,2.1962066020641915,0.2792957326821394,2.2085031960566055,0.38774750557487214,0.09805771386226717,0.3860772333698306,1.6103749152718867,2.7178280627580813,0.20094501725210936,0.5766217983230881,-0.2905324881815952
"AFGHANISTAN","HIRAT",500,1.7497286013365059,0.39583917011364617,1.7777341053502214,0.34590352966675286,0.17248017623636033,0.3526570986637543,1.002886313607017,2.4944506867455774,0.014134079986586355,0.6863122143243,-0.4070012837816548
"AFGHANISTAN","JAWZJAN",500,1.8637462362492314,0.5399496588150281,1.8610517165389626,0.06741405474131555,0.3018162799341505,0.07222193127201186,0.8338598612504728,2.942174152303766,-0.5562034018084234,0.6741033061163064,-0.2285592744424281
"AFGHANISTAN","KABUL",500,1.676393219568933,0.40437325222300924,1.668729500484848,-0.018042153437016407,0.23201091357561332,-0.014408384968293818,0.9075232698364029,2.4904318220547434,-0.4460449481236214,0.4440393964668843,-0.24236748223349971
"AFGHANISTAN","KANDAHAR",500,2.520887982858408,0.25766702721760165,2.5263172493061177,0.030504475024500977,0.11976442014613645,0.028379696992402996,1.959191344317805,3.0015473175834106,-0.1980470805094639,0.27162481613623674,-0.26566598571441935
"AFGHANISTAN","KAPISA",500,1.339660617135942,0.5177654430914685,1.3554074552982105,-0.10749509243638534,0.33347372296138755,-0.126078003426888,0.3272343652446962,2.3249333348968344,-0.7242454384986703,0.49095938800627137,-0.09790719713058249
"AFGHANISTAN","KHOST",500,1.971374101915027,0.34137961274979123,1.984319093240818,-0.29074652712438764,0.22943119292726477,-0.2759046872938183,1.3393515919941033,2.599896298677818,-0.7292111911173904,0.11232940851673356,-0.28206729199569336
"AFGHANISTAN","KUNAR",500,1.7200706879727103,0.3682767794754114,1.719269548868899,-0.25985580520600976,0.27546356030388436,-0.26197448392397543,0.9855097283622862,2.4191326098848345,-0.7771931670791941,0.2622449907912427,-0.1684513421598321
"AFGHANISTAN","KUNDUZ",500,1.8926000375772931,0.47801855660332315,1.890047889971484,-0.03179796433919664,0.2685902247498074,-0.03910603645836668,0.918574806699223,2.8569256051658924,-0.5273660698527967,0.5236126776776041,-0.12054188937169906
"AFGHANISTAN","LAGHMAN",500,2.1825213097379255,0.3332877444579617,2.1802886344297434,-0.21128106948156336,0.2454438392277952,-0.2241099032308652,1.5999964671439337,2.868609479262007,-0.6984937255634647,0.29080758368099746,-0.2443669476230012
"AFGHANISTAN","LOGAR",500,1.8481456239647365,0.45240753743540896,1.858242352201619,0.18466683923767882,0.20689668892849875,0.18001087090490864,0.9569067941471644,2.6959476365167783,-0.2155645847106053,0.5531926875594643,-0.355621111588144
"AFGHANISTAN","NANGARHAR",500,1.9473558489975908,0.25862646660033883,1.92461753943846,-0.27265919348943174,0.20624822165230577,-0.2657122257139443,1.4497139290045225,2.4563842604205868,-0.6975207311255414,0.10544952249305695,0.0186863955465256
