ISO_A3,TZA,ESH,COD,SOM,KEN,SDN,TCD,ZAF,LSO,ZWE,BWA,NAM,SEN,MLI,MRT,BEN,NER,NGA,CMR,TGO,GHA,CIV,GIN,GNB,LBR,SLE,BFA,CAF,COG,GAB,GNQ,ZMB,MWI,MOZ,SWZ,AGO,BDI,MDG,GMB,TUN,DZA,ERI,MAR,EGY,LBY,ETH,DJI,UGA,RWA,SSD
GIN,5429.0,1618.0,4132.0,6355.0,5548.0,4602.0,3349.0,6050.0,6341.0,5616.0,5343.0,4842.0,586.0,1152.0,1134.0,1495.0,2407.0,2124.0,2689.0,1361.0,1130.0,688.0,0.0,484.0,486.0,230.0,1055.0,3527.0,3175.0,2817.0,2579.0,5071.0,5686.0,6041.0,6325.0,4063.0,4813.0,7251.0,594.0,3675.0,2612.0,5565.0,2352.0,4931.0,3776.0,5637.0,5964.0,4940.0,4768.0,4607.0
GNB,5913.0,1475.0,4616.0,6822.0,6025.0,5030.0,3771.0,6485.0,6783.0,6086.0,5794.0,5274.0,274.0,1428.0,1093.0,1961.0,2792.0,2587.0,3167.0,1837.0,1611.0,1170.0,484.0,0.0,892.0,539.0,1485.0,3998.0,3659.0,3300.0,3063.0,5548.0,6167.0,6519.0,6782.0,4528.0,5297.0,7732.0,169.0,3846.0,2770.0,6000.0,2284.0,5289.0,4088.0,6096.0,6413.0,5418.0,5250.0,5071.0
LBR,5115.0,2085.0,3815.0,6142.0,5294.0,4507.0,3278.0,5594.0,5891.0,5210.0,4904.0,4383.0,1058.0,1401.0,1584.0,1357.0,2430.0,1970.0,2453.0,1180.0,925.0,441.0,486.0,892.0,0.0,354.0,1076.0,3316.0,2849.0,2476.0,2265.0,4687.0,5324.0,5659.0,5893.0,3647.0,4511.0,6887.0,1037.0,3935.0,2899.0,5448.0,2784.0,4957.0,3882.0,5456.0,5809.0,4685.0,4477.0,4410.0
SLE,5436.0,1830.0,4137.0,6418.0,5590.0,4717.0,3471.0,5946.0,6244.0,5560.0,5258.0,4735.0,724.0,1363.0,1357.0,1578.0,2561.0,2207.0,2736.0,1424.0,1177.0,697.0,230.0,539.0,354.0,0.0,1194.0,3588.0,3173.0,2806.0,2583.0,5032.0,5663.0,6004.0,6247.0,3999.0,4827.0,7227.0,689.0,3895.0,2835.0,5672.0,2577.0,5091.0,3960.0,5715.0,6055.0,4980.0,4789.0,4677.0
BFA,4563.0,1815.0,3291.0,5356.0,4594.0,3550.0,2294.0,5596.0,5850.0,4963.0,4815.0,4429.0,1437.0,610.0,1323.0,547.0,1369.0,1131.0,1766.0,534.0,496.0,684.0,1055.0,1485.0,1076.0,1194.0,0.0,2549.0,2386.0,2081.0,1801.0,4361.0,4912.0,5311.0,5755.0,3482.0,3936.0,6466.0,1526.0,2944.0,1974.0,4516.0,2241.0,3900.0,2805.0,4618.0,4929.0,3993.0,3872.0,3603.0
CAF,2141.0,4158.0,1104.0,2830.0,2048.0,1509.0,1022.0,4122.0,4250.0,3045.0,3261.0,3267.0,3982.0,2929.0,3759.0,2038.0,1738.0,1419.0,870.0,2168.0,2411.0,2895.0,3527.0,3998.0,3316.0,3588.0,2549.0,0.0,1006.0,1254.0,1240.0,2370.0,2683.0,3159.0,3962.0,2122.0,1528.0,4135.0,4062.0,3522.0,3236.0,2270.0,4224.0,2556.0,2409.0,2147.0,2531.0,1455.0,1424.0,1096.0
COG,2266.0,4175.0,968.0,3463.0,2527.0,2507.0,1861.0,3450.0,3643.0,2612.0,2604.0,2439.0,3711.0,2913.0,3704.0,1841.0,2147.0,1403.0,775.0,1881.0,2066.0,2490.0,3175.0,3659.0,2849.0,3173.0,2386.0,1006.0,0.0,384.0,598.0,1984.0,2531.0,2926.0,3460.0,1305.0,1669.0,4092.0,3759.0,4174.0,3656.0,3191.0,4434.0,3548.0,3228.0,2916.0,3354.0,1932.0,1651.0,1904.0
GAB,2643.0,3890.0,1347.0,3838.0,2909.0,2759.0,1957.0,3610.0,3831.0,2882.0,2787.0,2525.0,3364.0,2637.0,3405.0,1547.0,2044.0,1207.0,708.0,1560.0,1725.0,2130.0,2817.0,3300.0,2476.0,2806.0,2081.0,1254.0,384.0,0.0,293.0,2284.0,2871.0,3244.0,3692.0,1450.0,2051.0,4435.0,3405.0,4113.0,3507.0,3502.0,4202.0,3723.0,3266.0,3270.0,3698.0,2311.0,2035.0,2241.0
GNQ,2854.0,3605.0,1554.0,3953.0,3055.0,2710.0,1797.0,3902.0,4124.0,3168.0,3081.0,2808.0,3114.0,2349.0,3124.0,1262.0,1777.0,920.0,512.0,1288.0,1469.0,1896.0,2579.0,3063.0,2265.0,2583.0,1801.0,1240.0,598.0,293.0,0.0,2560.0,3126.0,3513.0,3984.0,1743.0,2246.0,4688.0,3162.0,3854.0,3222.0,3510.0,3909.0,3599.0,3056.0,3341.0,3751.0,2448.0,2214.0,2295.0
ZMB,1123.0,6159.0,1267.0,2853.0,1926.0,3310.0,3383.0,1890.0,1937.0,675.0,1105.0,1557.0,5633.0,4898.0,5683.0,3820.0,4014.0,3373.0,2711.0,3844.0,4006.0,4384.0,5071.0,5548.0,4687.0,5032.0,4361.0,2370.0,1984.0,2284.0,2560.0,0.0,723.0,972.0,1596.0,1147.0,1151.0,2222.0,5664.0,5892.0,5541.0,3450.0,6402.0,4560.0,4744.0,2793.0,3257.0,1722.0,1299.0,2325.0
