adm0_name,adm1_name,reff_random_effect,sia_random_effect
ALGERIA,ADRAR,-0.6807816256881843,0.0142084107780228
ALGERIA,AIN_DAFLA,-0.8785931420104728,0.0518712209187642
ALGERIA,AIN_TEMOUCHENT,-0.816420389989049,0.0251460463464715
ALGERIA,ALGER,-0.9597321748233816,0.0781461700136359
ALGERIA,ANNABA,-0.7674346180843687,0.1034856105977505
ALGERIA,BATNA,-0.7624764697962612,0.0916709636762543
ALGERIA,BECHAR,-0.7582618241150924,0.0302925606261446
ALGERIA,BEJAIA,-0.8428055434400505,0.0895150060909975
ALGERIA,BISKRA,-0.6752045331310684,0.0958210684899102
ALGERIA,BLIDA,-0.9167770806407994,0.065644237240661
ALGERIA,BORDJ_BOU_ARRERIDJ,-0.837015587723524,0.0746289159912121
ALGERIA,BOUIRA,-0.8912375393594334,0.0747031278491641
ALGERIA,BOUMERDES,-0.8976966310443868,0.0485781576600449
ALGERIA,CHLEF,-0.8882232356473643,0.0526188623411037
ALGERIA,CONSTANTINE,-0.7782294286231142,0.0988357808859152
ALGERIA,DJELFA,-0.7363658251007844,0.0919940210171158
ALGERIA,EL_BAYADH,-0.7067519672379933,0.0536612593895902
ALGERIA,EL_OUED,-0.508125539915047,0.1039205171110414
ALGERIA,EL_TARF,-0.6925970281022307,0.121639313867598
ALGERIA,GHARDAIA,-0.6341160031555417,0.0943342548544765
ALGERIA,GUELMA,-0.7398028377296824,0.1054568597535017
ALGERIA,ILISII,-0.5457412910056418,0.18667538629994
ALGERIA,JIJEL,-0.8027619502733214,0.0929984112114839
ALGERIA,KHENCHELA,-0.6588113423778825,0.0931209656199533
ALGERIA,LAGHOUAT,-0.7274900284238056,0.0745464069692736
ALGERIA,MSILA,-0.8082136259618291,0.0773975511334629
ALGERIA,MASCARA,-0.8829812466061361,0.0488683972220329
ALGERIA,MEDEA,-0.827040905693023,0.0494449870449185
ALGERIA,MILA,-0.808904375947623,0.1027040561329035
ALGERIA,MOSTAGANEM,-0.8419292913210612,0.058021742207803
ALGERIA,NAAMA,-0.7940138205133289,0.0444003474755491
ALGERIA,ORAN,-0.8931556344243339,0.0374629255318395
ALGERIA,OUARGLA,-0.469478509476515,0.1121782619685154
ALGERIA,OUM_EL_BOUAGHI,-0.7850451049147567,0.0916075778198543
ALGERIA,RELIZANE,-0.8805861984662146,0.0506379642560561
ALGERIA,SAIDA,-0.8173640984434076,0.0313648737962081
ALGERIA,SETIF,-0.8410610502109603,0.0774320612398575
ALGERIA,SIDI_BEL_ABBES,-0.8403373494458205,0.0587933040814
ALGERIA,SKIKDA,-0.749052477034372,0.0897899134012887
ALGERIA,SOUK_AHRAS,-0.7442965241104015,0.1140626427573661
ALGERIA,TAMANGHASSET,-0.5592713847641071,0.142544095853543
ALGERIA,TEBESSA,-0.7318411170624736,0.10305950795631
ALGERIA,TIARET,-0.8278358849381094,0.0581052023806676
ALGERIA,TINDOUF,-0.7429147616282418,-0.0212513773321173
ALGERIA,TIPAZA,-0.9219827635174204,0.066607977462845
ALGERIA,TISSEMSILT,-0.8123690918413623,0.0471649377892433
ALGERIA,TIZI_OUZOU,-0.8396401987112476,0.0492197385873509
ALGERIA,TLEMCEN,-0.8326539168398813,0.0399685264188497
ANGOLA,BENGO,1.813618884327702,-0.3466147807059608
ANGOLA,BENGUELA,1.9335831916345751,-0.7562391545432728
ANGOLA,BIE,1.2811690387633023,-0.4555809933261181
ANGOLA,CABINDA,1.0857905820844411,-0.292267442017611
ANGOLA,CUANDO_CUBANGO,1.448051142857878,-0.3753149842985444
ANGOLA,CUANZA_NORTE,1.7225951204283827,-0.2916896669073723
ANGOLA,CUANZA_SUL,2.3920094903580256,-0.4237184137871327
ANGOLA,CUNENE,0.9974831558475772,-0.4712424179163705
ANGOLA,HUAMBO,2.3458651851608834,-0.86322464382425
ANGOLA,HUILA,1.3955693095041322,-0.6304167236427537
ANGOLA,LUANDA,2.012401012842295,0.0165674014738191
ANGOLA,LUNDA_NORTE,1.1735727958594666,-0.3601212978579819
ANGOLA,LUNDA_SUL,1.72647703915207,-0.3747434909109367
ANGOLA,MALANJE,1.3912930580170266,-0.4652244468921103
ANGOLA,MOXICO,1.6678971712505286,-0.3457918198537326
ANGOLA,NAMIBE,1.173985977570962,-0.5696955853075927
ANGOLA,UIGE,1.4571102390527118,-0.4922161031063443
ANGOLA,ZAIRE,1.1385156508897083,-0.418332798635588
BENIN,ALIBORI,0.5401520302094884,0.1324953216792201
BENIN,ATACORA,0.7944535116436573,-0.1657665739128123
BENIN,ATLANTIQUE,0.6974379396344935,0.3300259409428825
BENIN,BORGOU,1.104118209328767,8.822592721394461e-05
BENIN,COLLINES,0.3434023196964123,0.124356587440714
BENIN,COUFFO,0.5168531841572679,-0.0186906659959473
BENIN,DONGA,0.6536159671912147,-0.147592364389474
BENIN,LITTORAL,0.7267763935210771,0.8378047754946362
BENIN,MONO,0.512711125156139,-0.0223177481198741
BENIN,OUEME,0.4735990161324304,0.4131701476157199
BENIN,PLATEAU,0.4099568284433716,0.247894962237973
BENIN,ZOU,0.4934238629423659,0.1062804476419662
BOTSWANA,BOBIRWA,-0.4608449074716426,-0.2481531333969835
BOTSWANA,BOTETI,-0.5380652761868332,-0.2489796362085357
BOTSWANA,CHOBE,-0.40063547763167,-0.2260279090018297
BOTSWANA,FRANCISTOWN,-0.5121143998718999,-0.2699715965985093
BOTSWANA,GABORONE,-0.671041882529248,-0.2576832955373156
BOTSWANA,GANTSI,-0.4075529468260071,-0.2537422446159051
