scenario_sia,year,month,start_date,adm0_name,adm1_name,adm2_name
2,2025,2,2025-02-01,NIGERIA,KANO,DAWAKIN KUDU
2,2025,2,2025-02-01,NIGERIA,KANO,DAWAKIN TOFA
2,2025,2,2025-02-01,NIGERIA,KANO,DOGUWA
2,2025,2,2025-02-01,NIGERIA,KANO,FAGGE
2,2025,2,2025-02-01,NIGERIA,KANO,GABASAWA
2,2025,2,2025-02-01,NIGERIA,KANO,GARKO
2,2025,2,2025-02-01,NIGERIA,KANO,GARUM MALLAM
2,2025,2,2025-02-01,NIGERIA,KANO,GAYA
2,2025,2,2025-02-01,NIGERIA,KANO,GEZAWA
2,2025,2,2025-02-01,NIGERIA,KANO,GWALE
2,2025,2,2025-02-01,NIGERIA,KANO,GWARZO
2,2025,2,2025-02-01,NIGERIA,KANO,KABO
2,2025,2,2025-02-01,NIGERIA,KANO,KANO MUNICIPAL
2,2025,2,2025-02-01,NIGERIA,KANO,KARAYE
2,2025,2,2025-02-01,NIGERIA,KANO,KIBIYA
2,2025,2,2025-02-01,NIGERIA,KANO,KIRU
2,2025,2,2025-02-01,NIGERIA,KANO,KUMBOTSO
2,2025,2,2025-02-01,NIGERIA,KANO,KUNCHI
2,2025,2,2025-02-01,NIGERIA,KANO,KURA
2,2025,2,2025-02-01,NIGERIA,KANO,MADOBI
2,2025,2,2025-02-01,NIGERIA,KANO,MAKODA
2,2025,2,2025-02-01,NIGERIA,KANO,MINJIBIR
2,2025,2,2025-02-01,NIGERIA,KANO,NASSARAWA
2,2025,2,2025-02-01,NIGERIA,KANO,RANO
2,2025,2,2025-02-01,NIGERIA,KANO,RIMIN GADO
2,2025,2,2025-02-01,NIGERIA,KANO,ROGO
2,2025,2,2025-02-01,NIGERIA,KANO,SHANONO
2,2025,2,2025-02-01,NIGERIA,KANO,SUMAILA
2,2025,2,2025-02-01,NIGERIA,KANO,TAKAI
2,2025,2,2025-02-01,NIGERIA,KANO,TARAUNI
2,2025,2,2025-02-01,NIGERIA,KANO,TOFA
2,2025,2,2025-02-01,NIGERIA,KANO,TSANYAWA
2,2025,2,2025-02-01,NIGERIA,KANO,TUDUN WADA
2,2025,2,2025-02-01,NIGERIA,KANO,UNGONGO
2,2025,2,2025-02-01,NIGERIA,KANO,WARAWA
2,2025,2,2025-02-01,NIGERIA,KANO,WUDIL
2,2025,2,2025-02-01,NIGERIA,JIGAWA,AUYO
2,2025,2,2025-02-01,NIGERIA,JIGAWA,BABURA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,BIRINIWA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,BIRNIN KUDU
2,2025,2,2025-02-01,NIGERIA,JIGAWA,BUJI
2,2025,2,2025-02-01,NIGERIA,JIGAWA,DUTSE
2,2025,2,2025-02-01,NIGERIA,JIGAWA,GAGARAWA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,GARKI
2,2025,2,2025-02-01,NIGERIA,JIGAWA,GUMEL
2,2025,2,2025-02-01,NIGERIA,JIGAWA,GURI
2,2025,2,2025-02-01,NIGERIA,JIGAWA,GWARAM
2,2025,2,2025-02-01,NIGERIA,JIGAWA,GWIWA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,HADEJIA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,JAHUN
2,2025,2,2025-02-01,NIGERIA,JIGAWA,KAFIN HAUSA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,KAUGAMA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,KAZAURE
2,2025,2,2025-02-01,NIGERIA,JIGAWA,KIRI KASAMA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,KIYAWA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,MAIGATARI
2,2025,2,2025-02-01,NIGERIA,JIGAWA,MALAM MADURI
2,2025,2,2025-02-01,NIGERIA,JIGAWA,MIGA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,RINGIM
2,2025,2,2025-02-01,NIGERIA,JIGAWA,RONI
2,2025,2,2025-02-01,NIGERIA,JIGAWA,SULE TANKAKAR
2,2025,2,2025-02-01,NIGERIA,JIGAWA,TAURA
2,2025,2,2025-02-01,NIGERIA,JIGAWA,YANKWASHI
