adm0_name,adm1_name,mean,lower,upper
ETHIOPIA,BENESHANGUL GUMUZ,0.9702457985305198,0.6755065446023386,1.3935866603932043
MOZAMBIQUE,INHAMBANE,1.232433149566223,0.7572492903746512,2.005801111280337
LIBERIA,SINOE,1.0467227891242479,0.6841819788645104,1.6013701487583551
NIGERIA,JIGAWA,0.6641992031999209,0.6089652136914998,0.7244429921655594
ZAMBIA,LUAPULA,1.0622953320505177,0.7500184105108203,1.5045915629294297
EGYPT,CAIRO,0.9373129022939158,0.677399295484509,1.2969536323155726
KENYA,TAITA TAVETA,1.0404245357077824,0.7242437611130671,1.494639336401215
CÔTE D’IVOIRE,NAWA,1.057407157000176,0.759546714365825,1.4720752187161392
TUNISIA,GABES,0.8816264573143536,0.5524130702030443,1.4070362418307174
ANGOLA,CUANZA SUL,1.1681691784414956,0.8901436232482114,1.5330326408238069
SUDAN,NORTH DARFUR,0.9224601746570557,0.697309311922878,1.2203089207023776
PAKISTAN,KPAKHTUNKHWA,0.6611962680102825,0.6119703546103775,0.7143818348996087
DEMOCRATIC REPUBLIC OF THE CONGO,KWANGO,1.0524132280460037,0.7752057733679963,1.4287478765208264
NIGERIA,ZAMFARA,0.6879031535515268,0.635154522827329,0.7450324789622573
UNITED REPUBLIC OF TANZANIA,SIMIYU,1.08083068846936,0.746798085614698,1.5642715208296178
BURUNDI,BUJUMBURA MAIRIE,0.9618671164099012,0.6559613262365496,1.4104312443826321
GHANA,EASTERN,0.9644526390527705,0.7224941793610918,1.2874413656846497
SOUTH AFRICA,MPUMALANGA,1.243458111849247,0.8002515785914528,1.9321274925132759
KENYA,MAKUENI,1.021499381880163,0.6740090821463229,1.5481408408604034
SUDAN,KHARTOUM,1.1792408528101535,0.8605384147043635,1.6159754929873298
GHANA,BONO EAST,0.9801168762657959,0.724152709915098,1.326555957035152
UZBEKISTAN,ANDIJAN,1.0839291307054735,0.6675745075260417,1.7599568994118477
YEMEN,SAADAH,1.1054875344475923,0.8056354826721637,1.5169424821825128
GHANA,CENTRAL,1.0186441983976462,0.7112372131699367,1.4589169178936923
BENIN,OUEME,0.8102927344818299,0.5956534782820959,1.1022756342288915
EGYPT,MENOUFIA,0.9993748272059942,0.6754188979799284,1.4787120233681892
EGYPT,S. SINAI,0.9719788740579899,0.654207204028618,1.4441035283581354
AFGHANISTAN,KABUL,1.088815831191043,0.8383949368567423,1.414035154717082
KENYA,MANDERA,0.830490986999785,0.5646473550806057,1.221497405915268
YEMEN,TAIZ,1.0301957234563057,0.7368685011505614,1.4402885005540644
MOZAMBIQUE,NAMPULA,1.2803988344774202,0.7945710954651182,2.063278144256516
SOUTH SUDAN,UNITY,1.0285210437276413,0.7731449990015685,1.3682498609661842
UNITED ARAB EMIRATES,FUJAIRAH,1.3035787447332174,0.7027588737678429,2.4180662915138162
SOUTH AFRICA,NORTHERN CAPE,1.30468876107971,0.833671851447134,2.0418258818897597
TUNISIA,TUNIS,0.9702627004125424,0.5236900879855234,1.7976466032289387
SENEGAL,DAKAR,1.574600397399139,1.0577075982395079,2.3440943561493612
MOROCCO,FES-MEKNES,0.8751357097086807,0.5213543467453612,1.4689865255527983
SUDAN,KASSALA,1.0908916809974123,0.7859752619526497,1.5140993836279966
MADAGASCAR,SUD-OUEST,1.0012320931824858,0.5857260716336674,1.711492373256621
GUINEA-BISSAU,CACHEU,1.1558349787430193,0.7184516061815658,1.8594912817945017
NIGERIA,BAYELSA,0.9251731211048217,0.6371427759294843,1.3434120833688465
MOZAMBIQUE,TETE,1.236049974090664,0.8651794000563482,1.7658991168190425
YEMEN,IBB,1.1384764245580292,0.7824243816825702,1.656554421894634
DEMOCRATIC REPUBLIC OF THE CONGO,SUD-UBANGI,0.9186776675911993,0.6933882916275691,1.2171660051394642
SOMALIA,BANADIR,0.6798952548097125,0.6036843498838987,0.7657272506760631
YEMEN,ALJAWF,1.2368150969997143,0.8604126810569399,1.7778812630786645
SUDAN,SOUTH KORDOFAN,1.0331576804360842,0.7287847246003151,1.4646503372164783
IRAN (ISLAMIC REPUBLIC OF),ARDEBIL,1.0476026498519417,0.6208352241868423,1.767733642069451
SUDAN,WEST KORDOFAN,1.0754905942531592,0.7753098601680023,1.491893857865256
MADAGASCAR,SOFIA,1.0009863613744134,0.5819919303278169,1.7216281591622924
PAKISTAN,SINDH,0.8424835020059611,0.7706870213688893,0.9209684754928451
EGYPT,QENA,0.9021843353347466,0.628368288327281,1.2953177142183647
IRAN (ISLAMIC REPUBLIC OF),KHOUZESTAN,1.0699780053694856,0.7317060457381757,1.5646350589046827
BURKINA FASO,FADA,0.9569639691301337,0.7074630593132508,1.2944563340201343
CHAD,MAYO KEBBI OUEST,0.7467869135992956,0.5675588403750925,0.9826129991290279
CÔTE D’IVOIRE,FOLON,1.0179224009401973,0.7000405147811402,1.4801514947457053
BURUNDI,RUMONGE,1.0367466803346426,0.6949124739943509,1.5467324582716289
KENYA,BUSIA,1.0793596708012183,0.7237994940213821,1.6095856774910902
CAMEROON,EST,0.7704214460730505,0.591483369131953,1.0034926348654039
GUINEA-BISSAU,GABU,1.04745793683296,0.6690903650042949,1.639790657316251
ETHIOPIA,GAMBELLA,0.7965005216729397,0.5703776350831824,1.112268507745303
CAMEROON,CENTRE,0.6148426943202426,0.5003862244153188,0.7554795082552286
MOROCCO,SOUSS-MASSA,0.8319105559236398,0.5115234539279927,1.352968603380214
MOZAMBIQUE,GAZA,1.245537368242462,0.8285259559738549,1.8724378210515755
DEMOCRATIC REPUBLIC OF THE CONGO,TSHOPO,0.7857194057530491,0.6517703551249994,0.9471970913106752
SYRIAN ARAB REPUBLIC,DARA,1.0200195264564413,0.669134816886175,1.554903149703254
GUINEA-BISSAU,BAFATA,1.0966377984269249,0.7049287153658467,1.706008614380982
LIBYA,AL WASTA,0.8408110738728046,0.557743199814446,1.2675425934056002
GHANA,WESTERN NORTH,1.0240084872138062,0.737803731098285,1.4212362145756385
