ADM0_NAME,ADM1_NAME,sia_random_effect,sia_prob
ETHIOPIA,BENESHANGUL_GUMUZ,0.9702457985305198,0.7251684879396944
MOZAMBIQUE,INHAMBANE,1.232433149566223,0.7742441486057207
LIBERIA,SINOE,1.046722789124248,0.740145088340146
NIGERIA,JIGAWA,0.6641992031999209,0.66020304939625
ZAMBIA,LUAPULA,1.0622953320505175,0.7431289418360558
EGYPT,CAIRO,0.9373129022939158,0.7185565567818403
KENYA,TAITA_TAVETA,1.0404245357077824,0.7389319122289122
COTE_DIVOIRE,NAWA,1.057407157000176,0.7421947379235149
TUNISIA,GABES,0.8816264573143536,0.7071591495964904
ANGOLA,CUANZA_SUL,1.1681691784414956,0.7628139267072219
SUDAN,NORTH_DARFUR,0.9224601746570557,0.7155431179360173
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,KWANGO,1.0524132280460037,0.7412380358771831
NIGERIA,ZAMFARA,0.6879031535515268,0.6655003106038939
UNITED_REPUBLIC_OF_TANZANIA,SIMIYU,1.08083068846936,0.7466511512278357
BURUNDI,BUJUMBURA_MAIRIE,0.9618671164099012,0.7234954771577311
GHANA,EASTERN,0.9644526390527705,0.7240124113723756
SOUTH_AFRICA,MPUMALANGA,1.243458111849247,0.7761653750345754
KENYA,MAKUENI,1.021499381880163,0.735264557964854
SUDAN,KHARTOUM,1.1792408528101537,0.7648112796255853
GHANA,BONO_EAST,0.980116876265796,0.7271314065313765
GHANA,CENTRAL,1.0186441983976462,0.7347084216297745
BENIN,OUEME,0.8102927344818299,0.6921718807371005
EGYPT,MENOUFIA,0.9993748272059942,0.7309356444443373
EGYPT,S_SINAI,0.97197887405799,0.725513753601921
KENYA,MANDERA,0.830490986999785,0.6964587364332565
MOZAMBIQUE,NAMPULA,1.2803988344774202,0.7825176592269573
SOUTH_SUDAN,UNITY,1.0285210437276413,0.7366290688629892
SOUTH_AFRICA,NORTHERN_CAPE,1.30468876107971,0.7866230362522142
TUNISIA,TUNIS,0.9702627004125424,0.7251718564576295
SENEGAL,DAKAR,1.574600397399139,0.8284384426842744
MOROCCO,FES_MEKNES,0.8751357097086807,0.705813207513304
SUDAN,KASSALA,1.0908916809974123,0.7485495937619804
MADAGASCAR,SUD_OUEST,1.0012320931824858,0.7313007538780809
GUINEA_BISSAU,CACHEU,1.155834978743019,0.7605750852202863
NIGERIA,BAYELSA,0.9251731211048216,0.7160949911645234
MOZAMBIQUE,TETE,1.236049974090664,0.7748757067692894
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,SUD_UBANGI,0.9186776675911992,0.7147725947600654
SOMALIA,BANADIR,0.6798952548097125,0.6637153189622097
SUDAN,SOUTH_KORDOFAN,1.0331576804360842,0.7375276199078681
SUDAN,WEST_KORDOFAN,1.0754905942531592,0.7456396720098776
MADAGASCAR,SOFIA,1.0009863613744134,0.7312524648429086
EGYPT,QENA,0.9021843353347466,0.711398177286927
BURKINA_FASO,FADA,0.9569639691301336,0.7225135295822582
CHAD,MAYO_KEBBI_OUEST,0.7467869135992956,0.6784781810368798
COTE_DIVOIRE,FOLON,1.0179224009401973,0.7345677108429396
BURUNDI,RUMONGE,1.0367466803346426,0.7382217882541715
KENYA,BUSIA,1.0793596708012183,0.746372787856469
CAMEROON,EST,0.7704214460730505,0.6836120539331538
GUINEA_BISSAU,GABU,1.04745793683296,0.740286454582912
ETHIOPIA,GAMBELLA,0.7965005216729397,0.689225411555013
CAMEROON,CENTRE,0.6148426943202426,0.6490446931035829
MOROCCO,SOUSS_MASSA,0.8319105559236398,0.6967587552105441
MOZAMBIQUE,GAZA,1.245537368242462,0.7765264023931846
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,TSHOPO,0.7857194057530491,0.6869114657979152
GUINEA_BISSAU,BAFATA,1.0966377984269249,0.7496296003624975
LIBYA,AL_WASTA,0.8408110738728046,0.6986360100325036
GHANA,WESTERN_NORTH,1.0240084872138062,0.7357526684034059
NIGERIA,LAGOS,0.666619160165936,0.6607457197512858
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,KINSHASA,0.7345123002057239,0.6757946837024355
KENYA,BUNGOMA,1.0742868679336008,0.745411304393144
ZIMBABWE,MASHONALAND_CENTRAL,1.286231367590121,0.783508625995741
NIGERIA,ABIA,0.8539337995492219,0.7013916950762351
GUINEA,KINDIA,0.7118036487888015,0.6707995776990399
KENYA,KIRINYAGA,1.0075029230597805,0.7325311830009019
MADAGASCAR,ITASY,0.9991745614927466,0.73089625661973
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,KWILU,1.0882076441059356,0.7480440590723237
CHAD,BAHR_ELGHAZAL,0.6932416757190193,0.6666876652601788
ANGOLA,MALANJE,1.1317182079236114,0.7561558488765456
SENEGAL,THIES,1.3140309652955635,0.7881869004803462
KENYA,MERU,1.0028175880064345,0.7316121892728145
GUINEA_BISSAU,BIOMBO,1.154751185105124,0.7603776699888586
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,KASAI_CENTRAL,1.116722004709651,0.7533801758712763
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,NORD_KIVU,1.0416551198733248,0.7391692363076515
MOROCCO,B_MELLAL_KHENIFRA,0.8745843007480036,0.7056986994551175
NAMIBIA,OMUSATI,1.2437142452867649,0.7762098706369074
CAMEROON,SUD,0.8720341658731703,0.7051687892461486
UNITED_REPUBLIC_OF_TANZANIA,MARA,1.0845222279675517,0.7473488186535194
TUNISIA,KASSERINE,0.9025613803874564,0.711475582541717
