dot_name,lat,lon,prop_underwt,ADM0_NAME,ADM1_NAME,ADM2_NAME
AFRO:CONGO:PLATEAUX:DJAMBALA_LEKANA,-2.3692285668884194,14.689556951067349,0.12177246441599793,CONGO,PLATEAUX,DJAMBALA_LEKANA
AFRO:CONGO:PLATEAUX:NGO_MPOUYA,-2.6223849642063493,15.576764096396463,0.1358529022509459,CONGO,PLATEAUX,NGO_MPOUYA
AFRO:MALAWI:MALAWI_ISLAND:LIKOMA,-12.054349892133818,34.70574776870181,0.09560842514038086,MALAWI,MALAWI_ISLAND,LIKOMA
AFRO:SENEGAL:DAKAR:RUFISQUE,14.815474788263353,-17.221726448487953,0.09659677147865295,SENEGAL,DAKAR,RUFISQUE
AFRO:SENEGAL:DAKAR:SANGALKAM,14.731556666423819,-17.271636922325197,0.08983083724975587,SENEGAL,DAKAR,SANGALKAM
AFRO:SIERRA_LEONE:NORTHERN:KOINADUGU,9.371495168635438,-11.594712940276763,0.17231141102672137,SIERRA_LEONE,NORTHERN,KOINADUGU
AFRO:SIERRA_LEONE:NORTHERN:BOMBALI,9.040740446746712,-12.06285192189368,0.1835780383445121,SIERRA_LEONE,NORTHERN,BOMBALI
AFRO:UGANDA:TESO:KALAKI,1.8390857917662655,33.339281845194314,0.09513499346646397,UGANDA,TESO,KALAKI
AFRO:UGANDA:KARAMOJA:KAABONG,3.5771157281387183,34.21344307009115,0.2840052238377658,UGANDA,KARAMOJA,KAABONG
AFRO:UGANDA:KARAMOJA:KARENGA,3.644025408547335,33.847010475940415,0.2579476805692594,UGANDA,KARAMOJA,KARENGA
AFRO:UGANDA:ANKOLE:KAZO,0.033886517642337445,30.78832370346038,0.12811148907008924,UGANDA,ANKOLE,KAZO
AFRO:UGANDA:TORO:KITAGWENDA,0.01325296872105227,30.341212694822232,0.13041917324066163,UGANDA,TORO,KITAGWENDA
AFRO:UGANDA:WEST_NILE:ARUA,3.037863422957608,31.045750416342212,0.15447908185562997,UGANDA,WEST_NILE,ARUA
AFRO:UGANDA:WEST_NILE:MADI_OKOLLO,2.8544314207442603,31.23062590450945,0.15034181978284697,UGANDA,WEST_NILE,MADI_OKOLLO
AFRO:UGANDA:WEST_NILE:MOYO,3.6382050568226756,31.76942641741676,0.14044942637284596,UGANDA,WEST_NILE,MOYO
AFRO:UGANDA:WEST_NILE:OBONGI,3.391466733053117,31.556366554848523,0.14625310730934143,UGANDA,WEST_NILE,OBONGI
AFRO:UGANDA:ANKOLE:RWAMPARA,-0.7296286467574002,30.51498124883858,0.12438493619646344,UGANDA,ANKOLE,RWAMPARA
AFRO:NIGER:ZINDER:KANTCHE,13.391009582089998,8.483384517716013,0.3855321502685547,NIGER,ZINDER,KANTCHE
AFRO:NIGER:ZINDER:MATAMEYE,13.385782112777713,8.71258506216621,0.3854281438191732,NIGER,ZINDER,MATAMEYE
EMRO:SOMALIA:SAHIL:BERBERA,10.293890319669416,45.302172358955865,0.2656826330601484,SOMALIA,SAHIL,BERBERA
EMRO:SOMALIA:AWDAL:BORAMA,10.084204967752806,43.14243522743837,0.231024511262968,SOMALIA,AWDAL,BORAMA
EMRO:SOMALIA:GALBEED:GABILEY,9.755030288061008,43.63476803004801,0.24813399215797324,SOMALIA,GALBEED,GABILEY
EMRO:SOMALIA:GALBEED:HARGEISA,9.535275507564892,44.274200666040095,0.26349177903686927,SOMALIA,GALBEED,HARGEISA
EMRO:SOMALIA:AWDAL:LUGHAYA,10.506853160147061,43.703503830802774,0.25957187058495695,SOMALIA,AWDAL,LUGHAYA
EMRO:SOMALIA:AWDAL:ZEILA,10.822627645325035,43.126168872925724,0.24598281417574203,SOMALIA,AWDAL,ZEILA
EMRO:SOMALIA:TOGDHER:BUHODLE,8.443351817635735,46.436114058024735,0.23451198387145997,SOMALIA,TOGDHER,BUHODLE
