date,dot_name,age_min,age_max
2025-02-01,AFRO:NIGERIA:KANO:AJINGI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:ALBASU,0,1825
2025-02-01,AFRO:NIGERIA:KANO:BAGWAI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:BEBEJI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:BICHI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:BUNKURE,0,1825
2025-02-01,AFRO:NIGERIA:KANO:DALA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:DAMBATTA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:DAWAKIN_KUDU,0,1825
2025-02-01,AFRO:NIGERIA:KANO:DAWAKIN_TOFA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:DOGUWA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:FAGGE,0,1825
2025-02-01,AFRO:NIGERIA:KANO:GABASAWA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:GARKO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:GARUM_MALLAM,0,1825
2025-02-01,AFRO:NIGERIA:KANO:GAYA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:GEZAWA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:GWALE,0,1825
2025-02-01,AFRO:NIGERIA:KANO:GWARZO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KABO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KANO_MUNICIPAL,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KARAYE,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KIBIYA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KIRU,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KUMBOTSO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KUNCHI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:KURA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:MADOBI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:MAKODA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:MINJIBIR,0,1825
2025-02-01,AFRO:NIGERIA:KANO:NASSARAWA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:RANO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:RIMIN_GADO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:ROGO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:SHANONO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:SUMAILA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:TAKAI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:TARAUNI,0,1825
2025-02-01,AFRO:NIGERIA:KANO:TOFA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:TSANYAWA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:TUDUN_WADA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:UNGONGO,0,1825
2025-02-01,AFRO:NIGERIA:KANO:WARAWA,0,1825
2025-02-01,AFRO:NIGERIA:KANO:WUDIL,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:AUYO,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:BABURA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:BIRINIWA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:BIRNIN_KUDU,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:BUJI,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:DUTSE,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:GAGARAWA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:GARKI,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:GUMEL,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:GURI,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:GWARAM,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:GWIWA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:HADEJIA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:JAHUN,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:KAFIN_HAUSA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:KAUGAMA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:KAZAURE,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:KIRI_KASAMA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:KIYAWA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:MAIGATARI,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:MALAM_MADURI,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:MIGA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:RINGIM,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:RONI,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:SULE_TANKAKAR,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:TAURA,0,1825
2025-02-01,AFRO:NIGERIA:JIGAWA:YANKWASHI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:BAKORI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:BATAGARAWA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:BATSARI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:BAURE,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:BINDAWA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:CHARANCHI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:DAN_MUSA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:DANDUME,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:DANJA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:DAURA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:DUTSI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:DUTSIN_MA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:FASKARI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:FUNTUA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:INGAWA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:JIBIA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:KAFUR,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:KAITA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:KANKARA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:KANKIA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:KATSINA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:KURFI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:KUSADA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:MAIADUA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:MALUMFASHI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:MANI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:MASHI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:MATAZU,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:MUSAWA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:RIMI,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:SABUWA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:SAFANA,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:SANDAMU,0,1825
2025-02-01,AFRO:NIGERIA:KATSINA:ZANGO,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:ANKA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BAKURA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BUNGUDU,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:GUMMI,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:GUSAU,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:KAURA_NAMODA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:MARADUN,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:MARU,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:SHINKAFI,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:TALATA_MAFARA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:TSAFE,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:ZURMI,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:ALEIRO,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:AREWA_DANDI,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:ARGUNGU,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:AUGIE,0,1825
