Time,Node,S,E,I,R
10,2,27455.0,0.0,0.0,390249.25
10,3,39256.0,0.0,0.0,537000.25
10,4,56490.0,0.0,0.0,765211.5
10,5,39388.0,0.0,0.0,502613.06
10,6,89814.0,0.0,0.0,1402445.2
10,7,77717.0,0.0,0.0,1205385.8
10,8,57912.0,0.0,0.0,894509.0
10,9,83460.0,0.0,0.0,1268074.5
10,10,37010.0,0.0,0.0,554689.25
10,11,63294.0,0.0,0.0,968927.2
10,12,70436.0,0.0,0.0,1102899.2
10,13,78887.0,0.0,0.0,1222509.2
11,0,13110.0,99.0,436.0,258060.38
11,1,15406.0,0.0,0.0,318674.75
11,2,27455.0,0.0,0.0,390221.9
11,3,39256.0,0.0,0.0,536966.9
11,4,56490.0,0.0,0.0,765164.1
11,5,39388.0,0.0,0.0,502581.75
11,6,89814.0,0.0,0.0,1402387.0
11,7,77717.0,0.0,0.0,1205342.5
11,8,57912.0,0.0,0.0,894476.75
11,9,83460.0,0.0,0.0,1268028.9
11,10,37010.0,0.0,0.0,554669.3
11,11,63294.0,0.0,0.0,968892.3
11,12,70436.0,0.0,0.0,1102859.5
11,13,78887.0,0.0,0.0,1222465.2
12,0,13070.0,96.0,470.0,258047.25
12,1,15406.0,0.0,0.0,318647.47
12,2,27455.0,0.0,0.0,390194.53
12,3,39256.0,0.0,0.0,536933.5
12,4,56490.0,0.0,0.0,765116.7
12,5,39388.0,0.0,0.0,502550.5
12,6,89814.0,0.0,0.0,1402328.5
12,7,77717.0,0.0,0.0,1205299.2
12,8,57912.0,0.0,0.0,894444.56
12,9,83460.0,0.0,0.0,1267983.2
12,10,37010.0,0.0,0.0,554649.4
12,11,63294.0,0.0,0.0,968857.44
12,12,70436.0,0.0,0.0,1102820.0
12,13,78887.0,0.0,0.0,1222421.2
13,0,13020.0,106.0,502.0,258033.12
13,1,15406.0,0.0,0.0,318620.2
13,2,27455.0,0.0,0.0,390167.2
13,3,39256.0,0.0,0.0,536900.2
13,4,56490.0,0.0,0.0,765069.25
13,5,39388.0,0.0,0.0,502519.2
13,6,89814.0,0.0,0.0,1402270.2
13,7,77717.0,0.0,0.0,1205256.0
13,8,57912.0,0.0,0.0,894412.4
13,9,83460.0,0.0,0.0,1267937.6
13,10,37010.0,0.0,0.0,554629.4
13,11,63294.0,0.0,0.0,968822.6
13,12,70436.0,0.0,0.0,1102780.2
13,13,78887.0,0.0,0.0,1222377.4
14,0,12993.0,102.0,528.0,258024.98
14,1,15416.0,0.0,0.0,318592.9
14,2,26999.0,0.0,0.0,386518.8
14,3,39381.0,0.0,0.0,536864.8
14,4,56669.0,0.0,0.0,765020.9
14,5,39504.0,0.0,0.0,502487.94
14,6,90353.0,0.0,0.0,1402181.0
14,7,78234.0,0.0,0.0,1205173.8
14,8,58296.0,0.0,0.0,894352.25
14,9,84003.0,0.0,0.0,1267856.0
14,10,37248.0,0.0,0.0,554592.44
14,11,63709.0,0.0,0.0,968757.75
14,12,70909.0,0.0,0.0,1102713.8
14,13,79411.0,0.0,0.0,1222288.5
15,0,12949.0,102.0,558.0,258016.88
15,1,15416.0,0.0,0.0,318565.62
15,2,26999.0,0.0,0.0,386491.5
15,3,39381.0,0.0,0.0,536831.5
15,4,56669.0,0.0,0.0,764973.5
15,5,39504.0,0.0,0.0,502456.7
15,6,90353.0,0.0,0.0,1402122.6
15,7,78234.0,0.0,0.0,1205130.4
15,8,58296.0,0.0,0.0,894320.06
15,9,84003.0,0.0,0.0,1267810.4
15,10,37248.0,0.0,0.0,554572.5
15,11,63709.0,0.0,0.0,968722.9
15,12,70909.0,0.0,0.0,1102674.0
15,13,79411.0,0.0,0.0,1222244.5
16,0,12901.0,111.0,578.0,258013.73
16,1,15416.0,0.0,0.0,318538.38
16,2,26999.0,0.0,0.0,386464.12
16,3,39381.0,0.0,0.0,536798.1
16,4,56669.0,0.0,0.0,764926.06
16,5,39504.0,0.0,0.0,502425.4
16,6,90353.0,0.0,0.0,1402064.2
16,7,78234.0,0.0,0.0,1205087.1
16,8,58296.0,0.0,0.0,894287.9
16,9,84003.0,0.0,0.0,1267764.8
16,10,37248.0,0.0,0.0,554552.5
16,11,63709.0,0.0,0.0,968688.06
16,12,70909.0,0.0,0.0,1102634.4
16,13,79411.0,0.0,0.0,1222200.5
17,0,12846.0,125.0,607.0,258003.62
17,1,15416.0,0.0,0.0,318511.1
17,2,26999.0,0.0,0.0,386436.78
17,3,39381.0,0.0,0.0,536764.8
17,4,56669.0,0.0,0.0,764878.6
17,5,39504.0,0.0,0.0,502394.12
17,6,90353.0,0.0,0.0,1402006.0
17,7,78234.0,0.0,0.0,1205043.8
17,8,58296.0,0.0,0.0,894255.75
17,9,84003.0,0.0,0.0,1267719.2
17,10,37248.0,0.0,0.0,554532.56
17,11,63709.0,0.0,0.0,968653.2
17,12,70909.0,0.0,0.0,1102594.8
17,13,79411.0,0.0,0.0,1222156.6
18,0,12798.0,119.0,643.0,257999.48
18,1,15416.0,0.0,0.0,318483.8
18,2,26999.0,0.0,0.0,386409.44
18,3,39381.0,0.0,0.0,536731.44
18,4,56669.0,0.0,0.0,764831.25
18,5,39504.0,0.0,0.0,502362.88
18,6,90353.0,0.0,0.0,1401947.8
18,7,78234.0,0.0,0.0,1205000.5
18,8,58296.0,0.0,0.0,894223.56
18,9,84003.0,0.0,0.0,1267673.6
18,10,37248.0,0.0,0.0,554512.6
18,11,63709.0,0.0,0.0,968618.4
18,12,70909.0,0.0,0.0,1102555.1
18,13,79411.0,0.0,0.0,1222112.8
19,0,12752.0,118.0,677.0,257990.38
19,1,15416.0,0.0,0.0,318456.56
19,2,26999.0,0.0,0.0,386382.1
